//踊り子,,,,,
#DANCER,,,,,
,,,,,
//1ループあたりの拍数（4分音符）,,,,,
#LOOPBEAT,16,,,,
,,,,,
//動作タイプ,（0:通常 1:出現 2:退去） ,フレーム間の描画位置の補間（0:補間なし 1:線形補間）,,,
#MOVETYPE,0,1,,,
//画像,ファイル名,横マス数,縦マス数,x,y
#IMAGE,1.png,1,1,,
#FRAME,,0,,,
#IMAGE,2.png,1,1,,
#FRAME,,0,,,
#IMAGE,3.png,1,1,,
#FRAME,,0,,,
#IMAGE,4.png,1,1,,
#FRAME,,0,,,
#IMAGE,5.png,1,1,,
#FRAME,,0,,,
#IMAGE,6.png,1,1,,
#FRAME,,0,,,
#IMAGE,7.png,1,1,,
#FRAME,,0,,,
#IMAGE,8.png,1,1,,
#FRAME,,0,,,
#IMAGE,9.png,1,1,,
#FRAME,,0,,,
#IMAGE,10.png,1,1,,
#FRAME,,0,,,
#IMAGE,11.png,1,1,,
#FRAME,,0,,,
#IMAGE,12.png,1,1,,
#FRAME,,0,,,
#IMAGE,1.png,1,1,,
#FRAME,,0,,,
#IMAGE,2.png,1,1,,
#FRAME,,0,,,
#IMAGE,3.png,1,1,,
#FRAME,,0,,,
#IMAGE,4.png,1,1,,
#FRAME,,0,,,
#IMAGE,5.png,1,1,,
#FRAME,,0,,,
#IMAGE,6.png,1,1,,
#FRAME,,0,,,
#IMAGE,7.png,1,1,,
#FRAME,,0,,,
#IMAGE,8.png,1,1,,
#FRAME,,0,,,
#IMAGE,9.png,1,1,,
#FRAME,,0,,,
#IMAGE,10.png,1,1,,
#FRAME,,0,,,
#IMAGE,11.png,1,1,,
#FRAME,,0,,,
#IMAGE,12.png,1,1,,
#FRAME,,0,,,
#IMAGE,1.png,1,1,,
#FRAME,,0,,,
#IMAGE,2.png,1,1,,
#FRAME,,0,,,
#IMAGE,3.png,1,1,,
#FRAME,,0,,,
#IMAGE,4.png,1,1,,
#FRAME,,0,,,
#IMAGE,5.png,1,1,,
#FRAME,,0,,,
#IMAGE,6.png,1,1,,
#FRAME,,0,,,
#IMAGE,7.png,1,1,,
#FRAME,,0,,,
#IMAGE,8.png,1,1,,
#FRAME,,0,,,
#IMAGE,9.png,1,1,,
#FRAME,,0,,,
#IMAGE,10.png,1,1,,
#FRAME,,0,,,
#IMAGE,11.png,1,1,,
#FRAME,,0,,,
#IMAGE,12.png,1,1,,
#FRAME,,0,,,
#IMAGE,1.png,1,1,,
#FRAME,,0,,,
#IMAGE,2.png,1,1,,
#FRAME,,0,,,
#IMAGE,3.png,1,1,,
#FRAME,,0,,,
#IMAGE,4.png,1,1,,
#FRAME,,0,,,
#IMAGE,5.png,1,1,,
#FRAME,,0,,,
#IMAGE,6.png,1,1,,
#FRAME,,0,,,
#IMAGE,7.png,1,1,,
#FRAME,,0,,,
#IMAGE,8.png,1,1,,
#FRAME,,0,,,
#IMAGE,9.png,1,1,,
#FRAME,,0,,,
#IMAGE,10.png,1,1,,
#FRAME,,0,,,
#IMAGE,11.png,1,1,,
#FRAME,,0,,,
#IMAGE,12.png,1,1,,
#FRAME,,0,,,
#IMAGE,13.png,1,1,,
#FRAME,,0,,,
#IMAGE,14.png,1,1,,
#FRAME,,0,,,
#IMAGE,15.png,1,1,,
#FRAME,,0,,,
#IMAGE,16.png,1,1,,
#FRAME,,0,,,
#IMAGE,17.png,1,1,,
#FRAME,,0,,,
#IMAGE,18.png,1,1,,
#FRAME,,0,,,
#IMAGE,19.png,1,1,,
#FRAME,,0,,,
#IMAGE,20.png,1,1,,
#FRAME,,0,,,
#IMAGE,21.png,1,1,,
#FRAME,,0,,,
#IMAGE,22.png,1,1,,
#FRAME,,0,,,
#IMAGE,23.png,1,1,,
#FRAME,,0,,,
#IMAGE,24.png,1,1,,
#FRAME,,0,,,
#IMAGE,25.png,1,1,,
#FRAME,,0,,,
#IMAGE,26.png,1,1,,
#FRAME,,0,,,
#IMAGE,27.png,1,1,,
#FRAME,,0,,,
#IMAGE,28.png,1,1,,
#FRAME,,0,,,
#IMAGE,29.png,1,1,,
#FRAME,,0,,,
#IMAGE,30.png,1,1,,
#FRAME,,0,,,
#IMAGE,31.png,1,1,,
#FRAME,,0,,,
#IMAGE,32.png,1,1,,
#FRAME,,0,,,
#IMAGE,33.png,1,1,,
#FRAME,,0,,,
#IMAGE,34.png,1,1,,
#FRAME,,0,,,
#IMAGE,35.png,1,1,,
#FRAME,,0,,,
#IMAGE,36.png,1,1,,
#FRAME,,0,,,
#IMAGE,13.png,1,1,,
#FRAME,,0,,,
#IMAGE,14.png,1,1,,
#FRAME,,0,,,
#IMAGE,15.png,1,1,,
#FRAME,,0,,,
#IMAGE,16.png,1,1,,
#FRAME,,0,,,
#IMAGE,17.png,1,1,,
#FRAME,,0,,,
#IMAGE,18.png,1,1,,
#FRAME,,0,,,
#IMAGE,19.png,1,1,,
#FRAME,,0,,,
#IMAGE,20.png,1,1,,
#FRAME,,0,,,
#IMAGE,21.png,1,1,,
#FRAME,,0,,,
#IMAGE,22.png,1,1,,
#FRAME,,0,,,
#IMAGE,23.png,1,1,,
#FRAME,,0,,,
#IMAGE,24.png,1,1,,
#FRAME,,0,,,
#IMAGE,b31.png,1,1,,
#FRAME,,0,,,
#IMAGE,b32.png,1,1,,
#FRAME,,0,,,
#IMAGE,b33.png,1,1,,
#FRAME,,0,,,
#IMAGE,b34.png,1,1,,
#FRAME,,0,,,
